"country_country_id","tournament_tournament_id","finish_order"
"germany","worldcup_1994","5"
"germany","worldcup_1998","5"
"germany","worldcup_2002","2"
"germany","worldcup_2006","3"
"germany","worldcup_2010","3"
"germany","worldcup_2014","1"
"germany","worldcup_2018","5"
"poland","worldcup_1974","3"
"poland","worldcup_1978","5"
"poland","worldcup_1982","3"
"poland","worldcup_1986","5"
"poland","worldcup_2002","5"
"poland","worldcup_2006","5"
"poland","worldcup_2018","5"
"slovenia","worldcup_2002","5"
"slovenia","worldcup_2010","5"
"honduras","worldcup_1982","5"
"honduras","worldcup_2010","5"
"honduras","worldcup_2014","5"
"newzealand","worldcup_1982","5"
"newzealand","worldcup_2010","5"
"angola","worldcup_2006","5"
"panama","worldcup_2018","5"
"southkorea","worldcup_1986","5"
"southkorea","worldcup_1990","5"
"southkorea","worldcup_1994","5"
"southkorea","worldcup_1998","5"
"southkorea","worldcup_2002","5"
"southkorea","worldcup_2006","5"
"southkorea","worldcup_2010","5"
"southkorea","worldcup_2014","5"
"southkorea","worldcup_2018","5"
"ecuador","worldcup_2002","5"
"ecuador","worldcup_2006","5"
"ecuador","worldcup_2014","5"
"ukraine","worldcup_2006","5"
"costarica","worldcup_1990","5"
"costarica","worldcup_2002","5"
"costarica","worldcup_2006","5"
"costarica","worldcup_2014","5"
"costarica","worldcup_2018","5"
"ivorycoast","worldcup_2006","5"
"ivorycoast","worldcup_2010","5"
"ivorycoast","worldcup_2014","5"
"cameroon","worldcup_1982","5"
"cameroon","worldcup_1990","5"
"cameroon","worldcup_1994","5"
"cameroon","worldcup_1998","5"
"cameroon","worldcup_2002","5"
"cameroon","worldcup_2010","5"
"cameroon","worldcup_2014","5"
"yugoslavia","worldcup_1974","5"
"yugoslavia","worldcup_1982","5"
"yugoslavia","worldcup_1990","5"
"yugoslavia","worldcup_1998","5"
"netherlands","worldcup_1974","2"
"netherlands","worldcup_1978","2"
"netherlands","worldcup_1990","5"
"netherlands","worldcup_1994","5"
"netherlands","worldcup_1998","5"
"netherlands","worldcup_2006","5"
"netherlands","worldcup_2010","2"
"netherlands","worldcup_2014","3"
"greece","worldcup_1994","5"
"greece","worldcup_2010","5"
"greece","worldcup_2014","5"
"algeria","worldcup_1982","5"
"algeria","worldcup_1986","5"
"algeria","worldcup_2010","5"
"algeria","worldcup_2014","5"
"iceland","worldcup_2018","5"
"japan","worldcup_1998","5"
"japan","worldcup_2002","5"
"japan","worldcup_2006","5"
"japan","worldcup_2010","5"
"japan","worldcup_2014","5"
"japan","worldcup_2018","5"
"haiti","worldcup_1974","5"
"austria","worldcup_1978","5"
"austria","worldcup_1982","5"
"austria","worldcup_1990","5"
"austria","worldcup_1998","5"
"tunisia","worldcup_1978","5"
"tunisia","worldcup_1998","5"
"tunisia","worldcup_2002","5"
"tunisia","worldcup_2006","5"
"tunisia","worldcup_2018","5"
