"player_player_id","tournament_tournament_id","aerials_z","blocks_z","boxtouches_z","clearances_z","crosses_z","fouled_z","fouls_z","goals_z","interceptions_z","nsxg_z","passes_z","progpasses_z","progruns_z","tackles_z","takeons_z","xg_z"
"vitorbaia_portugal","worldcup_2002","-0.73","-0.52","-0.74","-0.47","-0.56","0.01","-1.18","-0.41","-1.01","-0.82","-0.09","1.41","-0.18","-0.95","-0.77","-0.65"
"bulentkorkmaz_turkey","worldcup_2002","0.63","1.02","-0.67","1.47","-0.56","-0.63","0.21","0.45","0.47","-0.82","-0.2","0.01","-0.22","0.47","-0.77","-0.61"
"wilnernazaire_haiti","worldcup_1974","0.44","1.78","-0.7","1.5","-0.62","-0.39","0.2","-0.41","0.33","-0.84","-0.4","-0.61","-0.61","1.18","0.28","-0.69"
"rafaelalkorta_spain","worldcup_1994","0.54","0.42","-0.54","0.75","0.26","-0.07","0.09","-0.39","0.6","-0.43","-0.32","0.1","-0.01","-0.15","0.02","-0.62"
"rafaelalkorta_spain","worldcup_1998","2.55","0.99","-0.46","0.45","-0.66","-0.32","-0.39","-0.42","5.45","-0.9","0.66","0.86","0.86","0.86","-0.26","-0.55"
"enzoscifo_belgium","worldcup_1986","-0.7","-0.56","-0.29","-0.38","1.05","0.95","1.53","1.11","-0.14","0.35","0.61","0.32","2.43","0.47","0.74","0.14"
"enzoscifo_belgium","worldcup_1990","-0.03","-0.57","1.98","-0.3","1.93","1.21","1.74","1.18","1.39","1.98","2.03","1.0","2.5","1.37","3.26","3.36"
"enzoscifo_belgium","worldcup_1994","-0.16","-0.58","0.58","-0.22","3.16","1.15","1.36","-0.39","1.33","3.46","2.04","1.73","3.95","2.35","4.18","0.92"
"enzoscifo_belgium","worldcup_1998","-0.75","-0.54","-0.04","-0.47","-0.66","-1.08","0.38","-0.42","-0.27","0.0","0.17","0.03","2.49","0.39","0.7","-0.06"
"choyong-hyung_southkorea","worldcup_2010","0.13","1.48","-0.75","2.2","-0.52","-0.7","1.94","-0.4","-0.23","-0.37","0.06","0.27","0.25","1.25","-0.65","-0.63"
"zdeneknehoda_czechoslovakia","worldcup_1982","-0.65","-0.57","0.64","-0.57","-0.6","2.3","-1.13","-0.5","-0.3","-0.08","0.62","-0.15","0.77","-0.07","-0.4","0.98"
"paulpogba_france","worldcup_2014","0.39","-0.52","0.36","-0.27","-0.09","1.59","1.1","0.88","-0.14","0.45","1.3","0.2","0.42","0.2","3.46","1.26"
"paulpogba_france","worldcup_2018","1.5","0.37","-0.04","0.3","-0.51","2.18","1.81","0.57","-0.18","1.08","0.76","0.48","-0.09","0.65","0.75","-0.14"
"albertferrer_spain","worldcup_1994","-0.26","1.08","-0.54","0.89","0.26","-0.33","1.87","-0.39","0.24","0.18","0.64","1.31","0.76","-0.09","0.65","-0.62"
"albertferrer_spain","worldcup_1998","-0.75","-0.54","-0.74","-0.6","0.62","-1.08","-0.77","-0.42","0.32","-0.26","-0.64","0.1","-1.02","0.43","-0.74","-0.68"
"marcosrobertosilveirareis_brazil","worldcup_2002","-0.55","-0.52","-0.74","-0.15","-0.56","-1.07","-1.18","-0.41","-1.01","-0.82","-0.34","1.05","-1.01","-0.95","-0.77","-0.65"
"cescfabregas_spain","worldcup_2006","-0.7","-0.56","0.03","-0.5","-0.54","0.07","0.9","-0.42","1.49","0.21","1.97","0.79","-0.19","1.66","0.61","0.3"
"cescfabregas_spain","worldcup_2010","-0.77","-0.48","-0.29","-0.74","0.07","-0.84","-0.76","-0.4","-0.4","0.63","-0.09","-0.44","0.17","-0.34","-0.65","-0.16"
"cescfabregas_spain","worldcup_2014","-0.81","-0.52","0.08","-0.72","0.21","-0.99","-0.68","-0.43","-0.82","0.73","-0.61","-0.7","-0.26","-0.25","-0.25","-0.57"
"simonpoulsen_denmark","worldcup_2010","-0.17","-0.16","-0.56","1.55","-0.52","-0.18","0.93","-0.4","0.67","-0.77","1.13","1.34","-0.03","2.42","1.05","-0.36"
"wilfriedbony_ivorycoast","worldcup_2014","-0.41","-0.52","1.14","0.03","-0.54","-0.56","1.66","3.95","-0.82","-0.51","-0.8","-0.85","-0.94","-0.39","0.18","2.92"
"presnelkimpembe_france","worldcup_2018","-0.39","-0.45","-0.8","0.11","-0.51","-0.55","-0.9","-0.42","-0.79","-0.77","-0.7","-0.73","-0.55","-0.44","-0.67","-0.59"
"oguchionyewu_usa","worldcup_2006","3.24","-0.56","-0.37","1.79","-0.54","2.02","3.7","-0.42","0.77","0.36","1.03","1.23","0.04","-0.18","-0.69","-0.27"
"oguchionyewu_usa","worldcup_2010","0.89","-0.48","-0.49","1.19","-0.52","-0.72","0.03","-0.4","-0.5","-0.81","-0.6","-0.64","-0.62","-0.72","-0.65","-0.44"
"gelsonmartins_portugal","worldcup_2018","-0.89","-0.45","-0.8","-0.8","-0.51","-0.59","-1.11","-0.42","-0.79","-0.77","-1.16","-0.97","-0.67","-0.57","-0.36","-0.59"
"marcelartelesa_france","worldcup_1966","-0.07","2.35","-0.67","1.24","-0.05","0.08","1.56","-0.39","0.41","-0.75","0.13","-0.03","-0.94","2.66","-0.77","-0.63"
"yasseral-qahtani_saudiarabia","worldcup_2006","-0.21","-0.56","1.72","-0.57","-0.54","0.46","-0.03","2.08","-0.66","0.0","-0.91","-0.93","-0.19","-0.59","-0.11","1.02"
"gunnarhalle_norway","worldcup_1994","-0.66","-0.31","-0.73","-0.72","-0.6","-0.24","0.94","-0.39","-0.66","-0.45","-1.11","-0.81","-1.04","-0.97","-0.82","-0.62"
"dusanbajevic_yugoslavia","worldcup_1974","-0.37","-0.54","0.52","-0.71","-0.62","-0.22","-0.62","2.78","-0.56","-0.35","-0.98","-1.03","-0.84","-0.63","-0.83","0.82"
"oscarortiz_argentina","worldcup_1978","-0.49","-0.57","0.14","-0.44","1.3","1.72","-0.49","-0.46","0.1","0.48","-0.74","-0.72","-0.31","0.32","1.54","-0.47"
"nahitannandez_uruguay","worldcup_2018","1.22","-0.24","-0.44","-0.29","-0.04","0.87","0.64","-0.42","0.1","-0.27","-0.16","0.24","0.87","0.78","0.07","-0.55"
"dietmarhamann_germany","worldcup_1998","0.24","-0.54","-0.32","-0.5","0.49","1.92","2.06","-0.42","1.47","0.85","0.61","-0.09","-0.03","2.03","-0.16","-0.34"
"dietmarhamann_germany","worldcup_2002","0.16","0.4","-0.67","-0.15","-0.31","0.31","1.24","-0.41","2.28","-0.31","1.24","-0.04","0.18","2.17","0.68","0.15"
"diegobenaglio_switzerland","worldcup_2010","-0.77","-0.48","-0.75","-0.25","-0.52","-1.01","-1.09","-0.4","-0.82","-0.81","0.08","2.43","-0.48","-0.86","-0.65","-0.63"
"diegobenaglio_switzerland","worldcup_2014","-0.81","-0.52","-0.56","-0.51","-0.54","-0.7","-1.15","-0.43","-0.82","-0.63","-0.38","1.43","-0.94","-0.9","-0.68","-0.33"
"dragoslavjevric_serbia","worldcup_2006","-0.7","-0.56","-0.7","-0.72","-0.54","-1.1","-1.28","-0.42","-0.96","-0.76","-0.4","1.29","-0.9","-0.94","-0.69","-0.66"
"waldoponce_chile","worldcup_2010","0.13","0.96","-0.19","0.36","-0.52","-0.08","-0.49","-0.4","-0.09","-0.62","0.39","0.62","-0.59","-0.69","0.2","0.27"
"fabiocapello_italy","worldcup_1974","0.44","1.46","0.11","0.32","-0.62","-0.39","0.86","1.72","1.1","0.95","1.65","1.61","1.08","-0.87","-0.46","0.14"
"marcotardelli_italy","worldcup_1978","0.16","0.95","-0.18","0.46","0.06","1.26","0.86","-0.46","1.23","-0.37","1.06","0.28","0.3","0.66","1.05","0.15"
"marcotardelli_italy","worldcup_1982","-0.08","1.09","-0.22","0.02","0.2","1.01","-0.02","1.2","0.95","0.51","1.04","0.52","-0.16","0.24","1.31","0.34"
"josephyobo_nigeria","worldcup_2002","-0.73","5.55","-0.43","2.17","0.61","0.01","0.33","-0.41","2.37","0.09","0.89","0.42","-0.46","3.23","1.49","-0.16"
"josephyobo_nigeria","worldcup_2010","1.62","2.02","0.0","2.2","-0.52","-1.01","-0.69","-0.4","-0.29","-0.81","-0.48","-0.57","-0.7","-0.47","-0.65","-0.63"
"josephyobo_nigeria","worldcup_2014","0.39","0.95","-0.54","2.11","-0.54","-0.99","-0.45","-0.43","0.19","-0.79","0.17","0.01","-0.6","-0.14","-0.68","-0.57"
"nimanakisa_iran","worldcup_1998","-0.75","-0.54","-0.74","-0.73","-0.66","-1.08","-1.15","-0.42","-1.03","-0.9","-1.02","-0.22","-1.02","-0.99","-0.74","-0.68"
"jorgeorosmandasilvaecheverrito_uruguay","worldcup_1986","-0.7","-0.56","-0.03","-0.71","-0.66","1.07","0.92","-0.39","-1.0","-0.48","-0.92","-1.15","-0.04","-0.99","1.23","0.09"
"maurocamoranesi_italy","worldcup_2006","-0.51","-0.56","0.06","-0.55","-0.28","0.58","0.02","-0.42","-0.35","0.05","-0.4","-0.67","0.3","0.39","0.44","-0.04"
"maurocamoranesi_italy","worldcup_2010","-0.77","-0.48","0.0","-0.74","0.91","-0.18","0.12","-0.4","-0.82","0.12","-0.67","-0.43","-0.26","-0.2","0.48","-0.31"
"dante_brazil","worldcup_2014","-0.81","-0.52","-0.8","-0.48","-0.54","-0.99","-0.96","-0.43","-0.4","-0.79","-0.96","-0.78","-0.85","-0.9","-0.68","-0.57"
"josteinflo_norway","worldcup_1994","7.35","-0.31","2.92","0.17","0.83","-0.24","4.75","-0.39","-0.41","1.32","-0.39","0.17","-0.19","-0.4","-0.12","0.45"
"klausfischer_westgermany","worldcup_1978","1.79","-0.57","1.91","-0.66","0.82","0.8","-0.32","-0.46","-0.71","0.3","-0.82","-1.04","0.05","-1.05","0.5","0.89"
