"player_player_id","country_country_id"
"vitorbaia_portugal","portugal"
"bulentkorkmaz_turkey","turkey"
"wilnernazaire_haiti","haiti"
"rafaelalkorta_spain","spain"
"enzoscifo_belgium","belgium"
"choyong-hyung_southkorea","southkorea"
"zdeneknehoda_czechoslovakia","czechoslovakia"
"paulpogba_france","france"
"albertferrer_spain","spain"
"marcosrobertosilveirareis_brazil","brazil"
"cescfabregas_spain","spain"
"simonpoulsen_denmark","denmark"
"wilfriedbony_ivorycoast","ivorycoast"
"presnelkimpembe_france","france"
"oguchionyewu_usa","usa"
"gelsonmartins_portugal","portugal"
"marcelartelesa_france","france"
"yasseral-qahtani_saudiarabia","saudiarabia"
"gunnarhalle_norway","norway"
"dusanbajevic_yugoslavia","yugoslavia"
"oscarortiz_argentina","argentina"
"nahitannandez_uruguay","uruguay"
"dietmarhamann_germany","germany"
"diegobenaglio_switzerland","switzerland"
"dragoslavjevric_serbia","serbia"
"waldoponce_chile","chile"
"fabiocapello_italy","italy"
"marcotardelli_italy","italy"
"josephyobo_nigeria","nigeria"
"nimanakisa_iran","iran"
"jorgeorosmandasilvaecheverrito_uruguay","uruguay"
"maurocamoranesi_italy","italy"
"dante_brazil","brazil"
"josteinflo_norway","norway"
"klausfischer_westgermany","westgermany"
"romaric_ivorycoast","ivorycoast"
"marcelosalas_chile","chile"
"diegolaxalt_uruguay","uruguay"
"marouanefellaini_belgium","belgium"
"zbigniewboniek_poland","poland"
"zlatkoyankov_bulgaria","bulgaria"
"gennadiymorozov_ussr","ussr"
"hocineyahi_algeria","algeria"
"edinho_brazil","brazil"
"adriensilva_portugal","portugal"
"martinolsson_sweden","sweden"
"joseporras_costarica","costarica"
"jenslehmann_germany","germany"
"leopoldoluque_argentina","argentina"
"evgenylovchev_ussr","ussr"
"davidjames_england","england"
"reneverheyen_belgium","belgium"
"jamesplatt_northernireland","northernireland"
"robbiefowler_england","england"
"albertogorriz_spain","spain"
"giorgiochiellini_italy","italy"
"draganstojkovic_yugoslavia","yugoslavia"
"pablozabaleta_argentina","argentina"
"igorsemshov_russia","russia"
"sang-chulyoo_southkorea","southkorea"
"ericvanmeir_belgium","belgium"
"luisfernandoherrera_colombia","colombia"
"badoundiaye_senegal","senegal"
"filipkostic_serbia","serbia"
"jurgenpommerenke_eastgermany","eastgermany"
"cristobalortega_mexico","mexico"
"eliasfigueroa_chile","chile"
"josegimenez_uruguay","uruguay"
"federicofazio_argentina","argentina"
"petrjanecka_czechoslovakia","czechoslovakia"
"graemelesaux_england","england"
"juanriquelme_argentina","argentina"
"edinvisca_bosniaandherzegovina","bosniaandherzegovina"
"masambakilasu_zaire","zaire"
"oscarmurillo_colombia","colombia"
"demydezeeuw_netherlands","netherlands"
"ngolokante_france","france"
"danielveyt_belgium","belgium"
"jasonmcateer_repofireland","repofireland"
"davidsuazo_honduras","honduras"
"jeantigana_france","france"
"hugosotil_peru","peru"
"giourkasseitaridis_greece","greece"
"aleksandrborodyuk_russia","russia"
"yoon-kyungoh_northkorea","northkorea"
"roquesantacruz_paraguay","paraguay"
"filippoinzaghi_italy","italy"
"plamengetov_bulgaria","bulgaria"
"brankobuljevic_australia","australia"
"marekkusto_poland","poland"
"ivoknoflicek_czechoslovakia","czechoslovakia"
"alessandrosalvadore_italy","italy"
"kevingallacher_scotland","scotland"
"maurogalvao_brazil","brazil"
"uria_spain","spain"
"vincentcandela_france","france"
"sergioconceicao_portugal","portugal"
"marceldesailly_france","france"
"mohammadsadeqi_iran","iran"
"josefernandez_peru","peru"
"eduardoramos_mexico","mexico"
"colincalderwood_scotland","scotland"
"enzofrancescoli_uruguay","uruguay"
"atanasmihailov_bulgaria","bulgaria"
"islamslimani_algeria","algeria"
"jerrypalacios_honduras","honduras"
"seigonarazaki_japan","japan"
"flavio_angola","angola"
"jonasgutierrez_argentina","argentina"
"gheorghemihali_romania","romania"
"romario_brazil","brazil"
